num1,num2,num3,num4,num5,num6,num7,Created_at
14,15,19,22,23,40,41,1/12/2024 7:02
5,15,18,21,25,30,35,1/12/2024 7:04
1,6,22,23,30,38,41,1/12/2024 7:06
3,12,17,18,25,28,32,1/12/2024 7:08
4,9,10,13,20,33,37,1/12/2024 7:10
1,5,9,13,19,20,25,1/12/2024 7:12
3,11,18,20,26,31,36,1/12/2024 7:14
4,5,20,21,24,27,38,1/12/2024 7:16
14,16,17,20,24,26,40,1/12/2024 7:19
2,15,21,25,31,33,37,1/12/2024 7:20
7,13,16,21,22,23,38,1/12/2024 7:22
1,3,5,6,7,9,22,1/12/2024 7:24
6,7,9,21,26,31,39,1/12/2024 7:26
8,23,26,28,30,37,41,1/12/2024 7:28
18,24,29,32,35,40,41,1/12/2024 7:30
1,4,8,15,16,19,38,1/12/2024 7:32
5,15,21,29,35,37,40,1/12/2024 7:34
1,8,10,26,27,38,41,1/12/2024 7:36
3,4,7,24,28,36,39,1/12/2024 7:38
7,8,22,23,24,25,28,1/12/2024 7:40
6,8,14,25,30,34,41,1/12/2024 7:42
7,24,31,34,37,39,40,1/12/2024 7:44
9,22,33,38,39,40,42,1/12/2024 7:46
1,18,20,30,31,34,36,1/12/2024 7:48
1,9,12,16,30,37,42,1/12/2024 7:50
2,12,21,23,31,36,41,1/12/2024 7:52
12,16,19,24,25,30,42,1/12/2024 7:54
4,14,19,22,30,35,42,1/12/2024 7:56
1,2,6,13,21,28,29,1/12/2024 7:58
10,19,20,23,30,35,38,1/12/2024 8:00
5,14,15,22,30,35,36,1/12/2024 8:02
1,3,5,11,12,26,39,1/12/2024 8:04
5,9,11,25,26,28,33,1/12/2024 8:06
1,4,7,12,27,34,42,1/12/2024 8:08
2,6,8,18,32,38,41,1/12/2024 8:10
2,12,13,20,21,36,40,1/12/2024 8:12
8,12,18,30,31,39,41,1/12/2024 8:14
1,2,4,21,23,28,34,1/12/2024 8:16
4,15,17,23,24,35,40,1/12/2024 8:18
4,6,11,17,19,32,37,1/12/2024 8:20
4,7,13,14,21,37,41,1/12/2024 8:22
3,14,19,21,23,28,37,1/12/2024 8:24
5,15,18,22,29,31,42,1/12/2024 8:26
11,21,22,27,34,36,42,1/12/2024 8:29
2,8,25,27,32,35,38,1/12/2024 8:30
9,11,12,17,19,26,34,1/12/2024 8:32
9,18,22,23,30,33,35,1/12/2024 8:35
1,7,15,17,21,29,39,1/12/2024 10:17
7,23,26,27,30,41,42,1/12/2024 10:18
7,10,17,21,27,35,37,1/12/2024 10:20
1,4,6,7,21,24,40,1/12/2024 10:22
10,11,18,19,34,36,38,1/12/2024 10:24
4,5,11,19,22,24,32,1/12/2024 10:26
20,23,24,28,31,34,40,1/12/2024 10:28
2,16,29,31,36,40,41,1/12/2024 10:31
5,8,15,19,26,32,37,1/12/2024 10:32
4,13,23,24,27,37,42,1/12/2024 10:34
4,5,8,25,26,34,39,1/12/2024 10:36
1,7,13,18,30,33,37,1/12/2024 10:38
4,10,11,17,22,24,39,1/12/2024 10:40
3,10,12,15,21,31,32,1/12/2024 10:42
3,5,7,8,9,12,29,1/12/2024 10:44
1,5,10,17,21,23,27,1/12/2024 10:46
4,14,28,31,38,40,41,1/12/2024 10:48
1,8,22,24,30,38,41,1/12/2024 10:50
6,12,19,22,33,40,41,1/12/2024 10:52
4,5,9,17,27,31,33,1/12/2024 10:54
2,3,6,14,20,28,31,1/12/2024 10:56
6,14,19,35,37,39,40,1/12/2024 10:58
1,10,13,14,19,23,38,1/12/2024 11:00
8,11,21,24,36,40,42,1/12/2024 11:02
6,15,18,26,29,32,37,1/12/2024 11:04
8,11,12,22,32,34,42,1/12/2024 11:06
1,2,6,21,22,26,32,1/12/2024 11:08
1,3,12,17,27,33,38,1/12/2024 11:10
3,8,11,13,28,40,41,1/12/2024 11:12
6,7,9,18,27,30,39,1/12/2024 11:14
6,8,9,11,19,22,38,1/12/2024 11:16
1,28,29,32,37,38,41,1/12/2024 11:18
15,20,21,24,30,35,42,1/12/2024 11:20
2,3,15,18,20,30,40,1/12/2024 11:22
2,4,27,30,32,35,41,1/12/2024 11:24
5,6,13,20,36,38,42,1/12/2024 11:28
10,12,16,23,30,39,41,1/12/2024 11:30
5,13,16,24,38,39,42,1/12/2024 11:32
9,17,21,30,31,38,42,1/12/2024 11:34
3,5,24,32,33,34,38,1/12/2024 11:37
2,10,22,33,39,41,42,1/12/2024 11:38
1,8,13,15,17,19,33,1/12/2024 11:40
8,11,16,17,20,26,40,1/12/2024 11:42
2,8,9,10,23,29,36,1/12/2024 11:45
1,8,9,13,23,24,31,1/12/2024 11:46
5,12,19,23,32,35,36,1/12/2024 11:48
7,9,18,21,34,37,40,1/12/2024 11:50
1,20,26,34,35,38,40,1/12/2024 11:52
3,4,10,22,27,38,39,1/12/2024 11:54
15,16,18,19,20,24,37,1/12/2024 11:57
2,3,9,12,19,39,41,1/12/2024 11:58
3,7,13,14,18,33,40,1/12/2024 12:00
3,9,17,21,28,31,38,1/12/2024 12:02
